"CPW_LOT","DEVICE","FACILITY","TOP","IOP","VPPK","VXOVR","VEA","WAVELENGTH","LFIBER","EXT_RATIO","DISP_PENALTY","MASK_MARGIN","SMSR","RISE_TIME","FALL_TIME","OVERSHOOT","JITTER","CROSSING","ISS","RTH","IPD","IPHOTO","DEVICE_FM","TEST_RUNS","STATE","PRODUCT","FIRST_FAIL_MODE","TEST_DT","PKG_CODE"
"875638","152409559","PKGF10GB5","1269.95","94.9",".5","1.56","-1","1563.861","1.291","10.5","2.71","18","53.51","-999","-999","-999","2.43","51",".1608","5.0309","1270.099","36.69104","FAIL","3","C","1626L4B17","FAIL_TOP","24-JUN-15","80km DWDM"
"CK-875639","152409560","PKGF10GB6","39.61","90",".6","1.5","-1.05","1563.8634","2.877","11.5","2.98","20","50.83","20.1","23.5","1.17","1.82","50",".1479","5.42153","1202.643","36.45637","PASS","1","C","1626L4B17","PASS","24-JUN-15","80km DWDM"
"CK-875641","152409562","PKGF10GB6","37.6","90",".55","1.51","-1.07","1563.8612","1.47","10.8","2.86","20","50.54","18.8","23.4","1.5","1.87","51",".1437","5.87854","1636.116","36.62989","PASS","2","C","1626L4B17","PASS","24-JUN-15","80km DWDM"
"875643","152409564","PKGF10GB3","-999","-999","-.04","-.02","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-.0001","-999","-999","-999","FAIL","2","C","1626L048","FAIL_TOP_CONTACT","23-JUN-15","80km DWDM"
"CK-875647","152409568","PKGF10GB6","42.81","94.9",".7","1.43","-.7","1538.9788","1.34","12.6","998.8","-999","-999","-999","-999","-999","-999","50",".1567","-999","634.982","31.78259","FAIL","1","C","1626L048","FAIL_TUNING","23-JUN-15","80km DWDM"
"CK-875651","152409665","PKGF10GB6","40.02","95",".42","1.49","-1.07","1563.8627","1.332","11.1","2.6","20","51.58","21.7","23.8","1.12","2.05","49",".1331","5.33227","1150.586","38.95051","PASS","1","C","1626L4B17","PASS","24-JUN-15","80km DWDM"
"875653","152409667","PKGF10GB6","41.83","95",".57","1.44","-1","1563.8618","2.807","12.2","2.45","20","50.14","20.6","23.3",".83","2.09","50",".1455","4.9546","1024.719","35.85943","PASS","1","C","1626L4B17","PASS","24-JUN-15","80km DWDM"
"875656","152409670","PKGF10GB5","41.26","72",".63","1.54","-1.35","1563.858","1.605","10.1","998.9","-999","-999","-999","-999","-999","-999","51",".172","-999","263.671","40.22955","FAIL","2","C","1626L4B17","FAIL_TUNING","24-JUN-15","80km DWDM"
"875860","152410511","PKGF10GB4","38","70",".4","1.47","-.7","1534.281","7.731","-999","-999","-999","-999","-999","-999","-999","-999","-999",".1419","-999","-999","26.77933","FAIL","1","C","1655L054","FAIL_WAVELENGTH","23-JUN-15","40km DWDM"
"875863","152410514","PKGF10GB3","38","70",".4","1.49","-.9","1534.275","8.611","-999","-999","-999","-999","-999","-999","-999","-999","-999",".1459","-999","-999","33.89899","FAIL","1","C","1655L054","FAIL_WAVELENGTH","23-JUN-15","40km DWDM"
"CK-875878","152410529","PKGF10GB5","47.81","75.63",".4","1.47","-.7","1534.247",".809","11.2","1.23","18","51.21","21.3","24.1","1.63","2.08","50",".1519","3.92691","343.086","29.39863","PASS","1","C","1655L054","PASS","23-JUN-15","40km DWDM"
"875880","152410531","PKGF10GB4","46.03","70",".4","1.47","-.7","1534.249",".867","10.9",".77","20","48.15","21.4","25.8",".5","1.73","51",".1414","4.20615","608.798","27.1202","PASS","1","C","1655L054","PASS","23-JUN-15","40km DWDM"
"875882","152410533","PKGF10GB3","48","70",".4","1.49","-.8","1533.87","9.464","-999","-999","-999","-999","-999","-999","-999","-999","-999",".1459","-999","-999","26.49307","FAIL","2","C","1655L054","FAIL_WAVELENGTH","23-JUN-15","40km DWDM"
"875888","152410539","PKGF10GB3","48","70",".4","1.47","-.7","1534.202","6.947","-999","-999","-999","-999","-999","-999","-999","-999","-999",".1459","-999","-999","27.62115","FAIL","2","C","1655L054","FAIL_WAVELENGTH","21-JUN-15","40km DWDM"
"875894","152410545","PKGF10GB4","48","70",".4","1.47","-.7","1533.992","7.829","-999","-999","-999","-999","-999","-999","-999","-999","-999",".1416","-999","-999","25.31719","FAIL","3","C","1655L054","FAIL_WAVELENGTH","23-JUN-15","40km DWDM"
"875895","152410546","PKGF10GB4","46.11","70",".4","1.5","-.7","1534.247","1.174","11.2",".81","20","50.15","19.6","24.8","2.56","1.53","50",".1417","4.19242","997.255","25.4828","PASS","1","C","1655L054","PASS","21-JUN-15","40km DWDM"
"875902","152410553","PKGF10GB3","48","70",".4","1.47","-.7","1533.98","6.958","-999","-999","-999","-999","-999","-999","-999","-999","-999",".1459","-999","-999","26.11282","FAIL","1","C","1655L054","FAIL_WAVELENGTH","24-JUN-15","40km DWDM"
"875903","152410554","PKGF10GB4","48","70",".4","1.47","-.7","1534.092","7.454","-999","-999","-999","-999","-999","-999","-999","-999","-999",".142","-999","-999","27.29391","FAIL","1","C","1655L054","FAIL_WAVELENGTH","23-JUN-15","40km DWDM"
"875904","152410555","PKGF10GB3","48","70",".42","1.39","-.7","1534.182","8.458","-999","-999","-999","-999","-999","-999","-999","-999","-999",".148","-999","-999","22.924","FAIL","1","C","1655L054","FAIL_WAVELENGTH","24-JUN-15","40km DWDM"
"CK-875910","152410561","PKGF10GB4","46.82","78.19",".4","1.53","-.7","1534.248",".726","10.9",".58","18","50.76","19.8","24.3","2.16","1.67","50",".1414","4.07797","950.454","27.32108","PASS","1","C","1655L054","PASS","23-JUN-15","40km DWDM"
"CK-875911","152410562","PKGF10GB4","47.1","79.9",".45","1.49","-.65","1534.246",".556","11.1",".69","20","50.49","20.8","26",".6","1.59","50",".1455","4.03601","559.095","28.32767","PASS","1","C","1655L054","PASS","23-JUN-15","40km DWDM"
"875946","152410597","PKGF10GB2","40.27","79.9",".45","1.35","-.55","1534.25",".719","10.6","1.52","11","-999","-999","-999","-999","2.52","51",".1591","-999","638.743","26.11605","FAIL","1","C","1655L054","FAIL_TUNING","23-JUN-15","40km DWDM"
"875988","152410788","PKGF10GB4","48","70",".55","1.44","-.7","1545.368","1.729","9","998.8","-999","-999","-999","-999","-999","-999","51",".1536","-999","621.166","25.64119","FAIL","2","C","1655L040","FAIL_WAVELENGTH","23-JUN-15","40km DWDM"
"875996","152410796","PKGF10GB4","44.55","68",".4","1.47","-.7","1545.321","1.686","10.7",".78","20","45.47","21","25.1","1.13","1.49","50",".1418","4.45487","1097.118","23.02958","PASS","1","C","1655L040","PASS","22-JUN-15","40km DWDM"
"875999","152410799","PKGF10GB2","45.61","66",".4","1.44","-.7","1545.322","1.678","10.8","1.21","20","50.65","19.6","22.8","1.94","2.42","50",".1548","4.27787","403.372","26.36092","PASS","3","C","1655L040","PASS","23-JUN-15","40km DWDM"
"876032","152410832","PKGF10GB4","38.87","51",".7","1.53","-1","1542.146","1.731","10.6",".93","20","49.25","17","27","1.6","2.62","50",".1653","5.58557","319.745","28.82388","PASS","2","C","1655L044","PASS","24-JUN-15","40km DWDM"
"876033","152410833","PKGF10GB4","40.24","53",".45","1.42","-.7","1542.141","1.652","10.7","1","20","49.72","21.8","26",".21","1.53","50",".1451","5.28649","492.291","22.0269","PASS","1","C","1655L044","PASS","24-JUN-15","40km DWDM"
"876036","152410836","PKGF10GB4","43.66","70",".4","1.43","-.7","1542.141","1.397","10.6",".79","20","48.13","21.1","25.8","1.03","1.46","49",".1411","4.61509","959.234","23.73566","PASS","1","C","1655L044","PASS","24-JUN-15","40km DWDM"
"CK-876037","152410837","PKGF10GB3","44.33","70",".4","1.49","-.9","1542.136","1.471","10.8",".54","20","50.76","19","22","1.17","1.79","51",".1456","4.49454","847.333","28.28986","PASS","1","C","1655L044","PASS","24-JUN-15","40km DWDM"
"CK-876038","152410838","PKGF10GB4","44.98","69",".4","1.45","-.7","1542.14","1.712","10.9",".78","20","48.72","21.1","26",".26","1.49","50",".1412","4.38163","1028.94","23.68862","PASS","1","C","1655L044","PASS","24-JUN-15","40km DWDM"
"876089","152410889","PKGF10GB4","35.02","-999","-.01","0","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999",".0007","-999","-999","-999","FAIL","1","C","1655L058","FAIL_IPD_CONTACT","23-JUN-15","40km DWDM"
"876094","152410894","PKGF10GB4","35.03","-999","-.01","0","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999",".0007","-999","-999","-999","FAIL","1","C","1655L058","FAIL_IPD_CONTACT","23-JUN-15","40km DWDM"
"876098","152410898","PKGF10GB3","39.53","61",".49","1.48","-.7","1531.117","1.718","10.5",".41","20","49.41","20.2","22.2",".94","1.82","49",".1534","5.43755","790.875","22.80325","PASS","1","C","1655L058","PASS","23-JUN-15","40km DWDM"
"876113","152410913","PKGF10GB5","35.04","-999","0","0","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999",".0005","-999","-999","-999","FAIL","2","C","1655L058","FAIL_IPD_CONTACT","23-JUN-15","40km DWDM"
"876116","152410916","PKGF10GB2","47.14","70",".4","1.4","-.7","1531.115","1.42","10.6",".96","20","48.96","20.9","23.6","1.47","2.16","50",".1544","4.02762","1008.316","23.40405","PASS","1","C","1655L058","PASS","23-JUN-15","40km DWDM"
"876167","152411005","PKGF10GB7","42.57","85",".47","1.56","-.9","1549.315","2.205","10.7","1.56","20","48.23","20.4","24.8","1.02","2.55","50",".1543","4.81498","1132.299","32.98","PASS","1","C","1656L035","PASS","24-JUN-15","80km DWDM"
"876168","152411006","PKGF10GB7","44.47","85",".47","1.55","-.9","1549.317","2.942","10.8","2.34","20","49.39","19.3","25.1","1.12","2.27","50",".1543","4.46784","572.104","36.57841","PASS","1","C","1656L035","PASS","24-JUN-15","80km DWDM"
"876296","152411164","PKGF10GB1","30.1","94.9",".75","1.55","-1.58","1609.509","-.224","10","998.8","-999","-999","-999","-999","-999","-999","50",".1706","-999","824.18","50.11022","FAIL","1","C","1626L3161","FAIL_TUNING","23-JUN-15","70km CWDM 161"
"876297","152411165","PKGF10GB1","30.1","94.9",".7","1.53","-1.58","1609.555",".592","10.8","3.33","-999","-999","-999","-999","-999","-999","49",".167","-999","888.178","50.87072","FAIL","3","C","1626L3161","FAIL_TUNING","24-JUN-15","70km CWDM 161"
"876298","152411166","PKGF10GB1","30.1","94.9",".75","1.49","-1.28","1610.351",".465","11.5","998.8","-999","-999","-999","-999","-999","-999","49",".1705","-999","495.562","44.41504","FAIL","1","C","1626L3161","FAIL_TUNING","23-JUN-15","70km CWDM 161"
"876300","152411168","PKGF10GB1","30.1","94.9",".75","1.41","-1.28","1608.925",".392","10.9","998.8","-999","-999","-999","-999","-999","-999","49",".1705","-999","480.899","42.8736","FAIL","1","C","1626L3161","FAIL_TUNING","24-JUN-15","70km CWDM 161"
"876303","152411171","PKGF10GB1","30.1","94.9",".65","1.55","-1.58","1609.766","-.385","10.1","998.8","-999","-999","-999","-999","-999","-999","50",".163","-999","1704.645","47.19677","FAIL","2","C","1626L3161","FAIL_TUNING","23-JUN-15","70km CWDM 161"
"876304","152411172","PKGF10GB1","30.1","94.9",".65","1.53","-1.58","1609.791",".793","10.5","-999","0","53.07","16.9","25.6",".62","3.26","49",".164","8.0415","1404.36","48.37373","FAIL","3","C","1626L3161","PASS","23-JUN-15","70km CWDM 161"
"876308","152411176","PKGF10GB1","30.1","94.9",".7","1.55","-1.58","1609.156",".468","10.4","998.8","-999","-999","-999","-999","-999","-999","50",".1671","-999","1379.234","48.08531","FAIL","1","C","1626L3161","FAIL_TUNING","23-JUN-15","70km CWDM 161"
"876312","152411180","PKGF10GB1","30.1","94.9",".35","1.51","-1.6","1609.262",".574","10.3","2.88","-999","-999","-999","-999","-999","-999","49",".1389","-999","589.038","52.41413","FAIL","2","C","1626L3161","FAIL_TUNING","23-JUN-15","70km CWDM 161"
"876320","152411188","PKGF10GB1","35","85",".4","1.51","-1.38","1610.735",".852","11.1","3.01","9","51.36","17.7","27.1","2.95","3.16","51",".1429","6.54917","369.017","46.31367","FAIL","1","C","1626L3161","FAIL_DISP_PENALTY","23-JUN-15","70km CWDM 161"
"876321","152411189","PKGF10GB1","35","85",".4","1.5","-1.38","1610.662",".667","11.2","3.01","3","51.4","17.7","25.9","2.02","3.11","50",".143","6.54917","437.292","46.16372","FAIL","1","C","1626L3161","FAIL_DISP_PENALTY","23-JUN-15","70km CWDM 161"
